token_id,token_string,token_type
0,<BOS>,control
1,<EOS>,control
2,jake,word
3,car,word
4,engine,word
5,road,word
6,start,word
7,drive,word
8,.,punct
9,",",punct
10,vroom,misc
11,move,misc
12,the,word
13,in,word
14,drove,word
15,<UNK>,misc
16,and,word
17,for,word
18,with,word
19,this,word
20,property,word
21,not,word
22,that,word
23,are,word
24,will,word
25,link,word
26,build,word
27,when,word
28,directory,word
29,use,word
30,package,word
31,list,word
32,library,word
33,vowel,word
34,files,word
35,code,word
36,value,word
37,used,word
38,option,word
39,include,word
40,arabic,word
41,new,word
42,symbol,word
43,may,word
44,see,word
45,source,word
46,project,word
47,tai,word
48,default,word
49,find,word
50,add,word
51,egyptian,word
52,compiler,word
53,from,word
54,install,word
55,manual,word
56,libraries,word
57,one,word
58,form,word
59,targets,word
60,old,word
61,can,word
62,compile,word
63,digit,word
64,all,word
65,test,word
66,only,word
67,options,word
68,output,word
69,number,word
70,above,word
71,ref,word
72,variables,word
73,using,word
74,left,word
75,hangul,word
76,interface,word
77,specified,word
78,behavior,word
79,system,word
80,was,word
81,dir,word
82,lang,word
83,canadian,word
84,syllabics,word
85,language,word
86,type,word
87,times,word
88,line,word
89,now,word
90,org,word
91,added,word
92,properties,word
93,specify,word
94,also,word
95,bamum,word
96,has,word
97,any,word
98,greek,word
99,character,word
100,kde,word
101,current,word
102,phase,word
103,var,word
104,bold,word
105,arrow,word
106,anatolian,word
107,component,word
108,prefix,word
109,combining,word
110,lib,word
111,linear,word
112,thai,word
113,viet,word
114,custom,word
115,generators,word
116,below,word
117,imported,word
118,lao,word
119,other,word
120,ligature,word
121,have,word
122,created,word
123,generated,word
124,musical,word
125,given,word
126,commands,word
127,support,word
128,span,word
129,double,word
130,each,word
131,square,word
132,ethiopic,word
133,features,word
134,should,word
135,example,word
136,visual,word
137,run,word
138,following,word
139,must,word
140,note,word
141,studio,word
142,two,word
143,but,word
144,public,word
145,cyrillic,word
146,mark,word
147,object,word
148,standard,word
149,foo,word
150,lue,word
151,its,word
152,size,word
153,tamil,word
154,italic,word
155,error,word
156,true,word
157,required,word
158,platform,word
159,suffix,word
160,expression,word
161,supported,word
162,deprecated,word
163,same,word
164,mode,word
165,index,word
166,windows,word
167,cache,word
168,final,word
169,circled,word
170,they,word
171,serif,word
172,such,word
173,radical,word
174,sans,word
175,linker,word
176,defined,word
177,does,word
178,dots,word
179,names,word
180,optional,word
181,been,word
182,dependency,word
183,level,word
184,low,word
185,more,word
186,specific,word
187,high,word
188,projects,word
189,instead,word
190,align,word
191,genex,word
192,arguments,word
193,shared,word
194,learned,word
195,debug,word
196,archive,word
197,cuda,word
198,function,word
199,than,word
200,runtime,word
201,relative,word
202,export,word
203,static,word
204,dot,word
205,release,word
206,katakana,word
207,search,word
208,then,word
209,generate,word
210,group,word
211,header,word
212,three,word
213,result,word
214,argument,word
215,values,word
216,some,word
217,binary,word
218,root,word
219,style,word
220,time,word
221,hand,word
222,get,word
223,setting,word
224,enable,word
225,gained,word
226,uses,word
227,available,word
228,message,word
229,android,word
230,sources,word
231,feature,word
232,these,word
233,tree,word
234,vai,word
235,top,word
236,pattern,word
237,scheme,word
238,sets,word
239,white,word
240,framework,word
241,explicitly,word
242,specifying,word
243,whether,word
244,hentaigana,word
245,full,word
246,lower,word
247,vertical,word
248,toolchain,word
249,introduced,word
250,selector,word
251,before,word
252,format,word
253,macro,word
254,modules,word
255,case,word
256,additional,word
257,div,word
258,non,word
259,empty,word
260,their,word
261,program,word
262,replace,word
263,tool,word
264,variation,word
265,messages,word
266,braille,word
267,modifier,word
268,scope,word
269,resource,word
270,where,word
271,found,word
272,depends,word
273,ninja,word
274,entry,word
275,location,word
